"Key","bn","en","es","hi","id","ptg","tl","ur","vi","zh"
"mypromotion_zfy","সব ছাড়","All rebate","Todos los reembolsos","सभी को छूट","Semua rabat","Todos rebate","Lahat ng Rebate","تمام چھوٹ","Tất cả hoàn tiền","总返佣"
"mypromotion_zrzsjl","গতকাল সরাসরি পুরস্কার","Yesterday direct rewards","Recompensas directas de ayer","कल प्रत्यक्ष पुरस्कार","Reward langsung kemarin","Ontem recompensas diretas","Direct Rewards Kahapon","کل براہ راست انعامات","Phần thưởng trực tiếp hôm qua","昨日直属奖励"
"mypromotion_zrxxjl","গতকাল দলের পুরস্কার","Yesterday team rewards","Recompensas del equipo de ayer","कल टीम को पुरस्कृत किया गया","Reward tim kemarin","Ontem recompensas de equipe","Team Rewards Kahapon","کل ٹیم کے انعامات","Phần thưởng nhóm hôm qua","昨日团队奖励"
"mypromotion_zrjl","গতকাল পুরস্কার","Yesterday rewards","Recompensas de ayer","कल पुरस्कार","Reward kemarin","Ontem recompensas","Rewards Kahapon","کل کے انعامات","Phần thưởng hôm qua","昨日奖励"
"mypromotion_zsjl","সরাসরি পুরস্কার","Direct rewards","Recompensas directas","प्रत्यक्ष पुरस्कार","Reward langsung","Recompensas diretas","Direct Rewards","براہ راست انعامات","Phần thưởng trực tiếp","直属奖励"
"mypromotion_tdjl","দল পুরষ্কার","Team rewards","Recompensas del equipo","टीम को पुरस्कार","Reward tim","Recompensas de equipe","Team Rewards","ٹیم کے انعامات","Phần thưởng nhóm","团队奖励"
"mypromotion_zswj","সরাসরি অধিভুক্ত খেলোয়াড়","Directly affiliated player","Jugador afiliado directo","सीधे तौर पर संबद्ध खिलाड़ी","Pemain yang berafiliasi langsung","Jogador diretamente afiliado","Direktang kaakibat na Manlalaro","براہ راست وابستہ کھلاڑی","Người chơi liên kết trực tiếp","直属玩家"
"mypromotion_zrxz","গতকাল যোগ করা হয়েছে","Added yesterday","Añadido ayer","कल जोड़ा गया","Ditambahkan kemarin","Adicionado ontem","Nai-add Kahapon","کل شامل کیا گیا۔","Đã thêm hôm qua","昨日新增"
"mypromotion_qtxx","অন্যান্য অফলাইন","Other offline","Otros desconectados","अन्य ऑफ़लाइन","Offline lain","Outros offline","Ibang Offline","دیگر آف لائن","Ngoại tuyến khác","其他下线"
"mypromotion_fxjl","পুরস্কার শেয়ার করুন:","Share rewards:","Recompensas por compartir:","पुरस्कार साझा करें:","Bagikan reward:","Compartilhar recompensas:","I-share ang Rewards:","انعامات بانٹیں:","Chia sẻ phần thưởng:","分享奖励："
"mypromotion_lqjl","সংগ্রহ করুন","Collect","Recoger","इकट्ठा करे","Kumpulkan","Coleta","Kolektahin","جمع کرنا","Thu thập","领取"
"mypromotion_ylq","দাবি করেছে","Claimed","Reclamado","दावा किया","Diklaim","Cláusula","Nakolekta","دعویٰ کیا۔","Đã nhận","已领取"
"mypromotion_fxmx","শেয়ার করুন","Share","Compartir","शेयर करे","Bagikan","Compartilhar","I-share","شیئر کریں۔","Chia sẻ","分享明细"
"mypromotion_fyjl","রিবেটের জন্য পুরষ্কার:","Reward for rebates:","Recompensa por reembolsos:","छूट के लिए पुरस्कार:","Reward untuk rabat:","Recompensa para descontos:","Reward para sa Rebates:","چھوٹ کے لیے انعام:","Phần thưởng hoàn tiền:","返佣奖励："
"mypromotion_lqjilu","ইতিহাস","History","Historial","इतिहास","Riwayat","História","History","تاریخ","Lịch sử","领取记录"
"mypromotion_sj","সময়","Time","Hora","समय","Waktu","Tempo","Oras","وقت","Thời gian","时间"
"mypromotion_je","পরিমাণ","Amount","Cantidad","मात्रा","Jumlah","Montante","Halaga","رقم","Số tiền","金额"
"mypromotion_zwsj","সাময়িকভাবে কোনো ডেটা নেই","Temporarily no data","Sin datos por el momento","अस्थायी रूप से कोई डेटा नहीं","Sementara tidak ada data","Temporariamente nenhum dado","Kasalukuyang Walang Data","عارضی طور پر کوئی ڈیٹا نہیں ہے۔","Tạm thời không có dữ liệu","暂无数据"
"mypromotion_cabctp","ছবিটি সংরক্ষণ করতে দীর্ঘ সময় ধরে টিপুন","Press the picture for a long time to save","Mantén presionada la imagen para guardar","सेव करने के लिए चित्र को देर तक दबाएँ","Tekan gambar dalam waktu lama untuk menyimpan","Pressione a imagem por um longo tempo para economizar","Pindutin ang larawan ng ilang segundo upang ma-save","محفوظ کرنے کے لیے تصویر کو دیر تک دبائیں۔","Nhấn vào ảnh một lúc lâu để lưu","长按图片保存"
"mypromotion_zxjt","আপনি যদি সংরক্ষণ করতে ব্যর্থ হন তবে দয়া করে নিজের একটি স্ক্রিনশট নিন।","If you fail to save, please take a screenshot yourself.","Si no puedes guardar, toma una captura de pantalla tú mismo.","यदि आप सहेजने में विफल रहते हैं, तो कृपया स्वयं स्क्रीनशॉट लें।","Jika Anda gagal menyimpan, ambil sendiri tangkapan layar.","Se você não salvar, por favor, tire uma captura de tela você mesmo.","Kung hindi mo na-save, mangyaring i-screenshot ito","اگر آپ محفوظ کرنے میں ناکام رہتے ہیں، تو براہ کرم خود ایک اسکرین شاٹ لیں۔","Nếu bạn không lưu được, vui lòng tự chụp ảnh màn hình.","保存失败的请自行截图"
"mypromotion_yjfx","এক-ক্লিক শেয়ারিং","One-click sharing","Compartir con un solo clic","एक-क्लिक साझाकरण","Berbagi satu klik","Compartilhamento de um clique","Isang click sa Pag-share","ایک کلک شیئرنگ","Chia sẻ 1-chạm","一键分享"
"mypromotion_fxzy","সারাংশ শেয়ার করুন","Share Summary","Resumen de compartir","सारांश साझा करें","Bagikan Ringkasan","Resumo","Summary ng Pag-Share","خلاصہ شیئر کریں۔","Tóm tắt Chia sẻ","分享摘要"
"mypromotion_r","মানুষ","People","Personas","लोग","Orang","Pessoas","Mga Tao","لوگ","Mọi người","人"
"performanceInquiry_qsrID","আইডি লিখুন","Please enter ID","Por favor ingrese el ID","कृपया आईडी दर्ज करें","Silakan masukkan ID","Por favor, insira ID","Ilagay ang iyong ID","براہ کرم ID درج کریں۔","Vui lòng nhập ID","请输入ID"
"performanceInquiry_cx","দেখুন","View","Ver","देखना","Lihat","Visualização","I-view","دیکھیں","Xem","查询"
"performanceInquiry_cz","রিসেট করুন","Reset","Restablecer","रीसेट करें","Reset","Redefinição","I-reset","دوبارہ ترتیب دیں۔","Đặt lại","重置"
"performanceInquiry_mygdsj","আপাতত আর কোন তথ্য নেই ~","There is no more data for the time being ~","No hay más datos por el momento ~","फिलहाल कोई और डेटा नहीं है ~","Tidak ada data lagi untuk saat ini ~","Não há mais dados por enquanto ~","Kasalukuyang Walang Data rito ~","فی الحال کوئی مزید ڈیٹا نہیں ہے ~","Hiện tại không còn dữ liệu nào nữa ~","暂时没有更多数据～"
"performanceInquiry_xq","বিস্তারিত","Details","Detalles","विवरण","Detail","Detalhes","Mga Detalye","تفصیلات","Chi tiết","详情"
"performanceInquiry_zsxzrs","সরাসরি অধীনে নতুন যোগ করা সংখ্যা","Number of newly added directly under","Número de nuevos añadidos directamente debajo","सीधे तौर पर जोड़े गए नए लोगों की संख्या","Jumlah yang baru ditambahkan langsung di bawah","Número de recém-adicionado diretamente em","Bilang ng Bagong Miyembro na Subordinate Mo","نئے شامل کیے جانے والوں کی تعداد براہ راست نیچے","Số lượng thêm mới ngay dưới","直属新增人数"
"performanceInquiry_zsyxtz","সরাসরি কার্যকর পণ","Direct effective betting","Apuestas directas efectivas","प्रत्यक्ष प्रभावी सट्टेबाजी","Taruhan efektif langsung","Apostas efetivas diretas","Direktang Epektibong Pagtaya","براہ راست موثر بیٹنگ","Cược hiệu quả trực tiếp","直属有效投注"
"performanceInquiry_zsfy","সরাসরি ছাড়","Direct rebate","Reembolso directo","सीधी छूट","Rabat langsung","Rebate direto","Direktang Rebate","براہ راست چھوٹ","Hoàn tiền trực tiếp","直属返佣"
"performanceInquiry_tdxzrs","নতুন দলের নম্বর","New team number","Nuevo número de equipo","नई टीम संख्या","Nomor tim baru","Novo número de equipa","Bagong Team Number","نئی ٹیم نمبر","Số mới của nhóm","团队新增人数"
"performanceInquiry_fzsfy","অ-প্রত্যক্ষ ছাড়","Non-direct rebates","Reembolsos no directos","गैर-प्रत्यक्ष छूट","Rabat tidak langsung","Rebates não diretos","Hindi Direktang Rebates","غیر براہ راست چھوٹ","Hoàn tiền không trực tiếp","非直属返佣"
"performanceInquiry_fyze","মোট ছাড়","Total rebate","Reembolso total","कुल छूट","Total rabat","Rebate total","Kabuuang Rebate","کل چھوٹ","Tổng hoàn tiền","返佣总额"
"performanceInquiry_xsxx","বিস্তারিত","Details","Detalles","विवरण","Detail","Detalhes","Mga Detalye","تفصیلات","Chi tiết","详细信息"
"performanceInquiry_qp","দাবা এবং কার্ড","Chess and cards","Ajedrez y cartas","शतरंज और ताश","Catur dan kartu","Chess e cartões","Chess at Cards","شطرنج اور تاش","Cờ vua và bài","棋牌游戏"
"performanceInquiry_by","মাছ ধরা","Fishing","Pesca","फिशिंग","Memancing","Pesca","Pangingisda","ماہی گیری","Câu cá","捕鱼游戏"
"performanceInquiry_dz","ইলেক্ট্রন","Electron","Electrónica","इलेक्ट्रॉन","Electron","Electron","Larong Elektroniko","الیکٹران","Điện tử","电子游戏"
"performanceInquiry_zr","লাইভ ক্যাসিনো","Live Casino","Casino en vivo","लाइव कैसीनो","Live Casino","Casino ao vivo","Live Casino","لائیو کیسینو","Sòng bài Trực tiếp","真人游戏"
"performanceInquiry_cp","লটারি টিকিট","Lottery tickets","Boletos de lotería","लॉटरी टिकट","Tiket Lotre","Bilhetes de loteria","Lottery Tickets","لاٹری ٹکٹ","Vé số","彩票"
"performanceInquiry_ty","খেলাধুলা","Sports","Deportes","स्पोर्ट्स","Olahraga","Esportes","Sports","کھیل","Thể thao","体育"
"performanceInquiry_zh","অ্যাকাউন্ট নম্বর","Account number","Número de cuenta","खाता संख्या","Nomor akun","Número de conta","Account Number","اکاؤنٹ نمبر","Số tài khoản","账号"
"performanceInquiry_gx","সম্পর্ক","Relations","Relaciones","संबंध","Relasi","Relações externas","Relations","رشتے","Mối quan hệ","关系"
"performanceInquiry_yxtz","বৈধ বাজি","Valid bets","Apuestas válidas","वैध दांव","Taruhan valid","Apostas válidas","May bisang Taya","درست دائو","Khoản cược hợp lệ","有效投注"
"performanceInquiry_fybl","কমিশনের হার","Commission rate","Tasa de comisión","कमीशन दर","Nilai komisi","Taxa da Comissão","Rate ng Komisyon","کمیشن کی شرح","Tỷ lệ hoa hồng","返佣比例"
"performanceInquiry_fyze2","মোট ছাড়","Total rebate","Reembolso total","कुल छूट","Total rabat","Rebate total","Kabuuang Rebate","کل چھوٹ","Tổng hoàn tiền","返佣总额"
"performanceInquiry_zs","সরাসরি অধীনস্থ","Directly subordinate","Subordinado directo","सीधे अधीनस्थ","Subordinate langsung","Diretamente subordinado","Direktang Subordinate","براہ راست ماتحت","Trực tiếp dưới quyền","直属"
"performanceInquiry_fzs","অ-প্রত্যক্ষভাবে অধস্তন","Non-directly subordinate","Subordinado no directo","गैर-प्रत्यक्ष अधीनस्थ","Subordinate tidak langsung","Não-diretamente subordinado","Hindi Direktang Subordinate","غیر براہ راست ماتحت","Không trực tiếp dưới quyền","非直属"
"performanceInquiry_zj","মোট","Total","Total","कुल","Total","Total","Kabuuan","کل","Tổng","总计"
"promotionDetails_qbjl","সব রেকর্ড","All records","Todos los registros","सभी रिकार्ड","Semua catatan","Todos os registos","Lahat ng Rekord","تمام ریکارڈ","Tất cả hồ sơ","全部记录"
"promotionDetails_cx","প্রশ্ন","Query","Consultar","सवाल","Kueri","Query","Tanong","استفسار","Truy vấn","查询"
"promotionDetails_rq","তারিখ","Date","Fecha","तारीख","Tanggal","Data","Petsa","تاریخ","Ngày","日期"
"promotionDetails_jl","পুরস্কার","Reward","Recompensa","इनाम","Reward","Recompensa","Reward","انعام","Phần thưởng","奖励"
"promotionDetails_sxcg","সফলভাবে রিফ্রেশ করুন","Refresh successfully","Actualización exitosa","सफलतापूर्वक ताज़ा करें","Penyegaran berhasil","Atualizar com sucesso","Matagumpay ang Pag-refresh","کامیابی کے ساتھ تازہ کریں۔","Làm mới thành công","刷新成功"
"promotionInstructions_xzsj","একটি সময় নির্বাচন করুন","Please select a time","Por favor seleccione un tiempo","कृपया एक समय चुनें","Silakan pilih waktu","Por favor, selecione uma hora","Pumili ng Oras","براہ کرم ایک وقت منتخب کریں۔","Vui lòng chọn thời gian","请选择时间"
"promotionInstructions_srzh","সরাসরি সদস্য আইডি লিখুন","Please enter direct member ID","Por favor ingrese el ID de miembro directo","कृपया प्रत्यक्ष सदस्य आईडी दर्ज करें","Silakan masukkan ID anggota langsung","Por favor, insira o ID do membro direto","I-enter ang iyong Direct Member ID","براہ کرم براہ راست ممبر کی شناخت درج کریں۔","Vui lòng nhập ID thành viên trực tiếp","请输入直属会员ID"
"promotionInstructions_idcx","আইডি","ID","ID","पहचान","ID","ID","ID","ID","ID","ID"
"promotionInstructions_zcsjcx","রেজিস্টার করার সময়","Register time","Hora de registro","पंजीकरण का समय","Waktu daftar","Registro tempo","Oras ng Pag-rehistro","رجسٹر کرنے کا وقت","Thời gian đăng ký","注册时间"
"promotionInstructions_zsrs","সরাসরি সদস্য:","Direct member:","Miembro directo:","प्रत्यक्ष सदस्य:","Anggota langsung:","Membro direto:","Direktang Member:","براہ راست رکن:","Thành viên trực tiếp:","直属人数："
"promotionInstructions_yxtz","আজ বৈধ বাজি:","Today valid bet:","Apuesta válida hoy:","आज वैध दांव:","Taruhan yang berlaku hari ini:","Hoje aposta válida:","May Bisang Taya Ngayong Araw:","آج درست شرط:","Khoản cược hợp lệ hôm nay:","今日有效投注："
"promotionInstructions_cx","প্রশ্ন","Query","Consultar","सवाल","Kueri","Query","Tanong","استفسار","Truy vấn","查询"
"promotionInstructions_cz","রিসেট করুন","Reset","Restablecer","रीसेट करें","Reset","Redefinição","I-reset","دوبارہ ترتیب دیں۔","Đặt lại","重置"
"promotionInstructions_xq","বিস্তারিত","Details","Detalles","विवरण","Detail","Detalhes","Mga Detalye","تفصیلات","Chi tiết","详情"
"promotionInstructions_jrtz","মোট বাজি আজ বৈধ:","Total bets valid today:","Apuestas válidas totales hoy:","आज मान्य कुल दांव:","Total taruhan yang berlaku hari ini:","Total de apostas válidas hoje:","Kabuuang Taya Ngayong Araw:","کل شرطیں آج درست ہیں:","Tổng khoản cược hợp lệ hôm nay:","今日有效总投注："
"promotionInstructions_xjrs","সরাসরি অধিভুক্ত অধীনস্থদের সংখ্যা:","Number of directly affiliated subordinates:","Número de subordinados directamente afiliados:","सीधे तौर पर संबद्ध अधीनस्थों की संख्या:","Jumlah subordinate yang berafiliasi langsung:","Número de subordinados diretamente afiliados:","Bilang ng Iyong Direktang Subordinates:","براہ راست وابستہ ماتحتوں کی تعداد:","Số lượng cấp dưới liên kết trực tiếp:","直属下级人数："
"promotionInstructions_zyxtz","মোট কার্যকর মোট বাজি:","Total effective total bets:","Total de apuestas efectivas totales:","कुल प्रभावी कुल दांव:","Total taruhan efektif total:","Total de apostas totais eficazes:","Kabuuan ng Epektibong Taya:","کل مؤثر کل شرط:","Tổng khoản cược tổng hiệu quả:","总有效总投注："
"promotionInstructions_tdrs","দলের সদস্য","Team member","Miembro del equipo","टीम के सदस्य","Anggota tim","Membro da equipa","Team Member","ٹیم ممبر","Thành viên nhóm","团队人数"
"promotionInstructions_xxxx","বিস্তারিত","Details","Detalles","विवरण","Detail","Detalhes","Mga Detalye","تفصیلات","Chi tiết","详细信息"
"promotionInstructions_zcsj","রেজিস্ট্রেশনের সময়:","Registration time:","Hora de registro:","पंजीकरण का समय:","Waktu pendaftaran:","Tempo de inscrição:","Oras ng Pag-rehistro:","رجسٹریشن کا وقت:","Thời gian đăng ký:","注册时间："
"promotionInstructions_jryxtz","আজ বৈধ বাজি","Today valid bet","Apuesta válida hoy","आज वैध दांव","Taruhan yang berlaku hari ini","Hoje aposta válida","May Bisang Taya Ngayong Araw","آج درست شرط","Khoản cược hợp lệ hôm nay","今日有效投注"
"promotionInstructions_zyxtz1","মোট বৈধ বাজি","Total valid bet","Apuesta válida total","कुल वैध दांव","Total taruhan yang berlaku","Total de apostas válidas","Kabuuang May Bisang Taya","کل درست شرط","Tổng khoản cược hợp lệ","总有效投注"
"promotionInstructions_tdrsxz","দলের নম্বর (নতুন)","Team number (new)","Número de equipo (nuevo)","टीम संख्या (नया)","Nomor tim (baru)","Número da equipe (novo)","Team Member (bago)","ٹیم نمبر (نیا)","Số của nhóm (mới)","团队人数(新增)"
"promotionInstructions_jrtd","আজকের দল কার্যকরভাবে বাজি ধরে","Today's team bets effectively","Apuestas efectivas del equipo de hoy","आज की टीम प्रभावी ढंग से दांव लगाती है","Taruhan tim hari ini secara efektif","A equipe de hoje aposta efetivamente","Mga Epektibong Taya Ngayong Araw","آج کی ٹیم مؤثر طریقے سے شرط لگاتی ہے۔","Nhóm hôm nay cược hiệu quả","今日团队有效投注"
"promotionInstructions_zsrsxz","সরাসরি অধিভুক্ত ব্যক্তির সংখ্যা (নতুন)","Number of directly affiliated persons (new)","Número de personas directamente afiliadas (nuevo)","सीधे तौर पर संबद्ध व्यक्तियों की संख्या (नई)","Jumlah orang yang berafiliasi langsung (baru)","Número de pessoas diretamente afiliadas (novo)","Bilang ng Iyong Direktang Miyembro (bago)","براہ راست وابستہ افراد کی تعداد (نیا)","Số lượng người liên kết trực tiếp (mới)","直属人数(新增)"
"promotionInstructions_zryj","গতকাল কমিশন","Yesterday's commission","Comisión de ayer","कल का कमीशन","Komisi kemarin","Comissão de ontem","Komisyon Kahapon","کل کا کمیشن","Hoa hồng của hôm qua","昨日佣金"
"promotionInstructions_ktqyj","নিষ্কাশনযোগ্য কমিশন","Extractable commission","Comisión extraíble","निकालने योग्य कमीशन","Komisi yang dapat diekstraksi","Comissão extraída","Komisyon na Naibawas","ایکسٹریکٹ ایبل کمیشن","Hoa hồng có thể trích xuất","可提取佣金"
"promotionInstructions_lszyj","মোট ঐতিহাসিক কমিশন","Total historical commission","Comisión histórica total","कुल ऐतिहासिक आयोग","Total komisi historis","Total da comissão histórica","Kabuuang Komisyon","کل تاریخی کمیشن","Tổng hoa hồng theo lịch sử","历史总佣金"
"promotionInstructions_zhid","UID","UID","UID","UID","UID","UID","UID","UID","UID","账号ID"
"addHistory_xzym","পৃষ্ঠা নির্বাচন করুন","Select page","Seleccionar página","पेज चुनें","Pilih halaman","Selecione a página","Pumili ng Page","صفحہ منتخب کریں۔","Chọn trang","选择页面"
"addHistory_zs","নতুন সরাসরি","New direct","Nuevo directo","नया प्रत्यक्ष","Langsung baru","Novo directo","Bagong Direct","نیا براہ راست","Trực tiếp mới","直属"
"addHistory_zszrs","মোট সরাসরি খেলোয়াড়","Total direct players","Total de jugadores directos","कुल प्रत्यक्ष खिलाड़ी","Total pemain langsung","Total de jogadores directos","Kabuuang Direct Players","کل براہ راست کھلاڑی","Tổng số người chơi trực tiếp","直属总人数"
"addHistory_td","নতুন দলের ব্যবহারকারী","New team users","Nuevos usuarios del equipo","नए टीम उपयोगकर्ता","Pengguna tim baru","Novos usuários de equipe","Bagong Team Users","ٹیم کے نئے صارفین","Người dùng mới của nhóm","团队"
"addHistory_tdzrs","দলের মোট সংখ্যা","Total number of team","Número total de equipo","टीम की कुल संख्या","Total jumlah tim","Número total de equipa","Kabuuang Bilang ng Team","ٹیم کی کل تعداد","Tổng số nhóm","团队总人数"
"sharingTask_gjl","ইতিমধ্যে শেয়ার করা হয়েছে, পুরস্কৃত করা হয়েছে","Already shared, rewarded","Ya compartido, recompensado","पहले ही साझा किया जा चुका है, पुरस्कृत किया जा चुका है","Sudah dibagikan, diberi reward","Já compartilhado, recompensado","Naibahagi na ang Reward","پہلے ہی اشتراک کیا گیا ہے، انعام دیا گیا ہے۔","Đã chia sẻ, đã thưởng","已经分享，共奖励"
"sharingTask_qfx","শেয়ার করতে","To share","Compartir","साझा करने के लिए","Untuk dibagikan","Partilhar","Para i-share","اشتراک کرنے کے لئے","Để chia sẻ","去分享"
"sharingTask_sqjl","পুরস্কারের জন্য আবেদন করুন","Apply for awards","Solicitar premios","पुरस्कारों के लिए आवेदन करें","Kirim aplikasi untuk penghargaan","Aplicar para prêmios","Mag-apply para sa Awards","ایوارڈز کے لیے درخواست دیں۔","Ghi danh nhận thưởng","申请奖励"
"sharingTask_tjzl","তথ্য জমা","Submission of information","Envío de información","जानकारी प्रस्तुत करना","Pengiriman informasi","Submissão de informação","Isumite ang impormasyon","معلومات جمع کروانا","Nộp thông tin","提交资料"
"sharingTask_hyh","বন্ধুর অ্যাকাউন্ট","Friend account","Cuenta de amigo","मित्र खाता","Akun teman","Conta de amigos","Friend Account","دوست اکاؤنٹ","Tài khoản bạn bè","好友账号"
"sharingTask_tjtp","ছবি জমা দিন","Submit picture","Enviar imagen","चित्र सबमिट करें","Kirim gambar","Uma imagem","Isumite ang larawan","تصویر جمع کروائیں۔","Gửi ảnh","提交图片"
"sharingTask_djsctp","ছবি আপলোড ক্লিক করুন","Click upload picture","Hacer clic para cargar imagen","चित्र अपलोड करें पर क्लिक करें","Klik unggah gambar","Clique em imagem de upload","I-click ang Upload Picture","اپ لوڈ تصویر پر کلک کریں۔","Nhấp vào tải ảnh lên","点击上传图片"
"sharingTask_sctp","ছবি আপলোড করুন","Upload pictures","Cargar imágenes","चित्र अपलोड करें","Unggah gambar","Carregar imagens","I-upload ang larawan","تصاویر اپ لوڈ کریں۔","Tải ảnh lên","上传图片"
"sharingTask_scxz","শুধুমাত্র. JPG,। JPEG,। PNG ফর্ম্যাট আপলোড করা যেতে পারে, এবং 1M এর বেশি হতে পারে না","Only. JPG,. JPEG,. PNG formats can be uploaded, and cannot exceed 1M","Solo se pueden cargar formatos .JPG, .JPEG, .PNG y no pueden superar 1MB","केवल। जेपीजी,. जेपीईजी,. पीएनजी प्रारूप अपलोड किए जा सकते हैं, और 1M से अधिक नहीं हो सकते","Hanya. JPG,. JPEG,. PNG yang bisa diunggah, tidak lebih dari 1M","Só. JPG, JPEG,. Os formatos PNG podem ser carregados e não podem exceder 1M","Tanging .JPG,  .JPEG, .PNG format lamang ang maaaring i-upload, at hindi maaaring lumagpas ng 1M ang size ng larawan","صرف جے پی جی،۔ JPEG، PNG فارمیٹس اپ لوڈ کیے جا سکتے ہیں، اور 1M سے زیادہ نہیں ہو سکتے","Chỉ có thể tải lên các định dạng. JPG,. JPEG,. PNG, và không được vượt quá 1M","只能上传.JPG,.JPEG,.PNG格式，不能超过1M"
"sharingTask_tjsp","ভিডিও জমা দিন","Submit Video","Enviar video","वीडियो सबमिट करें","Kirim Video","Vídeo","Isumite ang Video","ویڈیو جمع کروائیں۔","Gửi Video","提交视频"
"sharingTask_djtjsp","ভিডিও আপলোড ক্লিক করুন","Click upload video","Hacer clic para cargar video","वीडियो अपलोड करें पर क्लिक करें","Klik unggah video","Clique em upload de vídeo","I-click ang Upload Video","ویڈیو اپ لوڈ پر کلک کریں۔","Nhấp vào tải video lên","点击上传视频"
"sharingTask_scsp","ভিডিও আপলোড করুন","Upload video","Cargar video","वीडियो अपलोड करें","Unggah video","Carregar vídeo","I-upload ang video","ویڈیو اپ لوڈ کریں۔","Tải video lên","上传视频"
"sharingTask_znsc","শুধুমাত্র আপলোড করুন। MP4,। AVI,। MOV বিন্যাস, 2M এর বেশি নয়","Upload only. MP4,. AVI,. MOV format, no more than 2M","Solo se pueden cargar formatos .MP4, .AVI, .MOV, no más de 2MB","केवल अपलोड करें. MP4,. एवीआई,. MOV प्रारूप, 2M से अधिक नहीं","Hanya unggah. MP4,. AVI,. MOV, tak lebih dari 2M","Carregar apenas. MP4,. AVI,. formato MOV, não mais do que 2M","Tanging .MP4, .AVI, .MOV format lamang ang maaaring i-upload,  at hindi maaaring lumagpas ng mahigit 2M ang size ng video","صرف اپ لوڈ کریں۔ MP4،. AVI،. MOV فارمیٹ، 2M سے زیادہ نہیں۔","Chỉ tải lên định dạng. MP4,. AVI,. MOV format, không quá 2M","只能上传.MP4,.AVI,.MOV格式，不能超过2M"
"sharingTask_tj","জমা দিন","Submit","Enviar","जमा करना","Kirim","Submeter-me","Isumite","جمع کروائیں۔","Gửi","提交"
"sharingTask_fx","শেয়ার করুন","Share","Compartir","शेयर करना","Bagikan","Compartilhar","I-share","شیئر کریں۔","Chia sẻ","分享"
"sharingTask_cabctp","ছবিটি সংরক্ষণ করতে দীর্ঘ সময় ধরে টিপুন","Press the picture for a long time to save","Mantén presionada la imagen para guardar","सेव करने के लिए चित्र को देर तक दबाएँ","Tekan gambar dalam waktu lama untuk menyimpan","Pressione a imagem por um longo tempo para economizar","Pindutin ang larawan ng ilang segundo upang i-save","محفوظ کرنے کے لیے تصویر کو دیر تک دبائیں۔","Nhấn vào ảnh một lúc lâu để lưu","长按图片保存"
"sharingTask_fzlj","শেয়ার লিঙ্ক কপি করুন","Copy share link","Copiar enlace de compartir","कॉपी शेयर लिंक","Salin tautan berbagi","Copiar link de compartilhamento","Kopyahin ang Share Link","شیئر لنک کاپی کریں۔","Sao chép đường dẫn chia sẻ","复制"
"sharingTask_tpgsbd","অনুপযুক্ত ছবির বিন্যাস","Improper picture format","Formato de imagen incorrecto","अनुचित चित्र प्रारूप","Format gambar tidak tepat","Formato de imagem impróprio","Maling format ng larawan","تصویر کی غلط شکل","Định dạng ảnh không phù hợp","图片格式不正确"
"sharingTask_tpdx","ছবির আকার 1M এর বেশি হতে পারে না","Picture size cannot be greater than 1M","El tamaño de la imagen no puede ser mayor a 1MB","चित्र का आकार 1M से अधिक नहीं हो सकता","Ukuran gambar tidak boleh lebih besar dari 1M","Tamanho da imagem não pode ser maior que 1M","Ang size ng larawan ay hindi maaaring lumagpas ng mahigit 1M","تصویر کا سائز 1M سے زیادہ نہیں ہو سکتا","Kích thước ảnh không được lớn hơn 1M","图片大小不能大于1M"
"sharingTask_scsb","আপলোড ব্যর্থ হয়েছে","Upload failed","Carga fallida","अपलोड विफल रहा","Pengunggahan gagal","Carregar falhou","Nabigo ang Pag-upload","اپ لوڈ ناکام ہو گیا۔","Tải lên không thành công","上传失败"
"sharingTask_sigsbd","ভুল ভিডিও বিন্যাস","Incorrect video format","Formato de video incorrecto","गलत वीडियो प्रारूप","Format video salah","Formato de vídeo incorreto","Maling Video Format","غلط ویڈیو فارمیٹ","Định dạng video không đúng","视频格式不正确"
"sharingTask_spdxbnd","ভিডিওর আকার 2M এর বেশি হতে পারে না৷","Video size cannot be greater than 2M","El tamaño del video no puede ser mayor a 2MB","वीडियो का आकार 2M से अधिक नहीं हो सकता","Ukuran video tidak boleh lebih besar dari 2M","O tamanho do vídeo não pode ser maior que 2M","Ang size ng video ay hindi maaaring lumagpas ng mahigit 2M","ویڈیو کا سائز 2M سے زیادہ نہیں ہو سکتا","Kích thước video không được lớn hơn 2M","视频大小不能大于2M"
"sharingTask_sqcg","সফল আবেদন","Successful application","Aplicación exitosa","सफल आवेदन","Penerapan berhasil","Aplicação bem sucedida","Matagumpay na Aplikasyon","کامیاب درخواست","Ghi danh thành công","申请成功"
"sharingTask_zlxxbnwk","তথ্য তথ্য খালি হতে পারে না","Data information cannot be empty","La información de datos no puede estar vacía","डेटा जानकारी खाली नहीं हो सकती","Informasi data tidak boleh kosong","InformaÃ§Ãμes de dados nÃ£o podem ser vazias","Hindi maaaring walang laman ang impormasyon ng data na ito","ڈیٹا کی معلومات خالی نہیں ہو سکتی","Thông tin dữ liệu không được để trống","资料信息不能为空"
"UserPage_qdl","লগইন করুন","Please login","Por favor, inicie sesión","कृपया लॉगिन करें","Silakan login","Por favor","Mag-log in","براہ کرم لاگ ان کریں۔","Vui lòng đăng nhập","请登录"
"UserPage_zhye","ভারসাম্য","Balance","Saldo","बैलेंस","Saldo","Balanço","Balanse","توازن","Số dư","账户余额"
