"Key","en.json","id.json","ptg.json","tl.json","vi.json","zh.json"
"timezoneLabel_23","- Cyprus, Moscow Time, Kenya, Tanzania, Somalia, Madagascar, Iraq, Yemen,
      Kuwait, Saudi Arabia, Qatar, Jerusalem    
","- Cyprus, Waktu Moscow, Kenya, Tanzania, Somalia, Madagascar, Iraq, Yemen,
      Kuwait, Arab Saudi, Qatar, Jerusalem    
","- Chipre, Hora de Moscovo, Quénia, Tanzânia, Somália, Madagáscar, Iraque, Iémen,
      Kuwait, Arábia Saudita, Qatar, Jerusalém    
","- Cyprus, Moscow Time, Kenya, Tanzania, Somalia, Madagascar, Iraq, Yemen,
      Kuwait, Saudi Arabia, Qatar, Jerusalem    
","- Cyprus, Giờ Moscow, Kenya, Tanzania, Somalia, Madagascar, I-rắc, Yemen,
      Kuwait, Ả Rập Xê-út, Qatar, Jerusalem    
","- 塞浦路斯、莫斯科时间、肯尼亚、坦桑尼亚、索马里、马达加斯加、伊拉克、也门、
     科威特、沙特阿拉伯、卡塔尔、耶路撒冷    
"
"timezoneLabel_235","- Tehran","- Tehran","- Teerã","- Tehran","- Tehran","- 德黑兰"
"timezoneLabel_24","- UAE, Azerbaijan, Armenia, Oman, Samara, Izhevsk, Abkhazia, Georgia","- UAE, Azerbaijan, Armenia, Oman, Samara, Izhevsk, Abkhazia, Georgia","- Emirados Árabes Unidos, Azerbaijão, Armênia, Omã, Samara, Izhevsk, Abkhazia, Geórgia","- UAE, Azerbaijan, Armenia, Oman, Samara, Izhevsk, Abkhazia, Georgia","- UAE, Azerbaijan, Armenia, Oman, Samara, Izhevsk, Abkhazia, Georgia","- 阿联酋、阿塞拜疆、亚美尼亚、阿曼、萨马拉、伊热夫斯克、阿布哈兹、格鲁吉亚"
"timezoneLabel_25","
      - Maldives, Turkmenistan, Yekaterinburg Time, Kyzylorda, Uzbekistan,
      Kazakhstan (Astana), Kazakhstan (Ural'sk), Islamabad, Karachi    
 ","
      - Maldives, Turkmenistan, Waktu Yekaterinburg, Kyzylorda, Uzbekistan,
      Kazakhstan (Astana), Kazakhstan (Ural'sk), Islamabad, Karachi    
 ","
      - Maldivas, Turquemenistão, Yekaterinburg Time, Kyzylorda, Uzbequistão,
      Cazaquistão (Astana), Cazaquistão (Ural'sk), Islamabad, Karachi    
 ","
      - Maldives, Turkmenistan, Yekaterinburg Time, Kyzylorda, Uzbekistan,
      Kazakhstan (Astana), Kazakhstan (Ural'sk), Islamabad, Karachi    
 ","
      - Maldives, Turkmenistan, Giờ Yekaterinburg, Kyzylorda, Uzbekistan,
      Kazakhstan (Astana), Kazakhstan (Ural'sk), Islamabad, Karachi    
 ","
      - 马尔代夫、土库曼斯坦、叶卡捷琳堡时间、克孜勒奥尔达、乌兹别克斯坦、
      哈萨克斯坦（阿斯塔纳）、哈萨克斯坦（乌拉尔斯克）、伊斯兰堡、卡拉奇    
 "
"timezoneLabel_253","- India, Sri Lanka","- India, Sri Lanka","- Índia, Sri Lanka","- India, Sri Lanka","- Ấn Độ, Sri Lanka","- 印度、斯里兰卡"
"timezoneLabel_254","- Nepal","- Nepal","- Nepal","- Nepal","- Nepal","- 尼泊尔"
"timezoneLabel_26","- Omsk Time, Bangladesh, Kyrgyzstan","- Waktu Omsk, Bangladesh, Kyrgyzstan","- Omsk Time, Bangladesh, Quirguistão","- Omsk Time, Bangladesh, Kyrgyzstan","- Giờ Omsk, Bangladesh, Kyrgyzstan","- 吉尔吉斯斯坦孟加拉国鄂木斯克时间"
"timezoneLabel_27","- Krasnoyarsk Time, Novosibirsk, Kemerovo, Bangkok, Tomsk, Barnaul, Jakarta, Hanoi","- Waktu Krasnoyarsk, Novosibirsk, Kemerovo, Bangkok, Tomsk, Barnaul, Jakarta, Hanoi","- Krasnoyarsk Time, Novosibirsk, Kemerovo, Banguecoque, Tomsk, Barnaul, Jacarta, Hanói","- Krasnoyarsk Time, Novosibirsk, Kemerovo, Bangkok, Tomsk, Barnaul, Jakarta, Hanoi","- Giờ Krasnoyarsk, Novosibirsk, Kemerovo, Bangkok, Tomsk, Barnaul, Jakarta, Hà Nội","- 克拉斯诺亚尔斯克时间、新西伯利亚、克麦罗沃、曼谷、托木斯克、巴尔瑙尔、雅加达、河内"
"timezoneLabel_28","
      - Irkutsk Time, Ulaanbaatar, Kuala Lumpur, Hong Kong, China, Singapore,
      Taiwan, Perth
   ","
      - Waktu Irkutsk, Ulaanbaatar, Kuala Lumpur, Hong Kong, China, Singapura,
      Taiwan, Perth
   ","
      - Hora de Irkutsk, Ulaanbaatar, Kuala Lumpur, Hong Kong, China, Singapura,
      Taiwan, Perth
   ","
      - Irkutsk Time, Ulaanbaatar, Kuala Lumpur, Hong Kong, China, Singapore,
      Taiwan, Perth
   ","
      - Giờ Irkutsk, Ulaanbaatar, Kuala Lumpur, Hồng Kông, Trung Quốc, Singapore,
      Đài Loan, Perth
   ","
      - 伊尔库茨克时间，乌兰巴托，吉隆坡，香港，中国，新加坡，
      台湾, 珀斯
   "
"timezoneLabel_284","- Caiguna, Eucla, Madura, Mundrabilla","- Caiguna, Eucla, Madura, Mundrabilla","- Caiguna, Eucla, Madura, Mundrabilla","- Caiguna, Eucla, Madura, Mundrabilla","- Caiguna, Eucla, Madura, Mundrabilla","- 凯古纳、尤克拉、马杜拉、蒙德拉比拉"
"timezoneLabel_29","- North Korea, Yakutsk Time, Korea, Chita, Japan","- Korea Utara, Waktu Yakutsk, Korea, Chita, Jepang","- Coreia do Norte, Yakutsk Time, Coreia, Chita, Japão","- North Korea, Yakutsk Time, Korea, Chita, Japan","- Bắc Hàn, Giờ Yakutsk, Hàn Quốc, Chita, Nhật Bản","- 朝鲜，雅库茨克时间，韩国，赤塔，日本"
"timezoneLabel_293","- Adelaide, Darwin, Broken Hill","- Adelaide, Darwin, Broken Hill","- Adelaide, Darwin, Colina Quebrada","- Adelaide, Darwin, Broken Hill","- Adelaide, Darwin, Broken Hill","- 阿德莱德、达尔文、布罗肯希尔"
"timezoneLabel_210","- Vladivostok Time, Brisbane, Melbourne, Tasmania, Guam, Port Moresby, Canberra, Sydney","- Waktu Vladivostok, Brisbane, Melbourne, Tasmania, Guam, Port Moresby, Canberra, Sydney","- Vladivostok Time, Brisbane, Melbourne, Tasmânia, Guam, Port Moresby, Canberra, Sydney","- Vladivostok Time, Brisbane, Melbourne, Tasmania, Guam, Port Moresby, Canberra, Sydney","- Giờ Vladivostok, Brisbane, Melbourne, Tasmania, Guam, Port Moresby, Canberra, Sydney","- 海参崴时间、布里斯班、墨尔本、塔斯马尼亚、关岛、莫尔兹比港、堪培拉、悉尼"
"timezoneLabel_2103","- Lord Howe Island","- Lord Howe Island","- Ilha Lord Howe","- Lord Howe Island","- Đảo Lord Howe","- 豪勋爵岛"
"timezoneLabel_211","- Magadan Time, Sakhalin Oblast (Severo-Kurilsky District), Solomon Islands, Norfolk Island, New Caledonia","- Waktu Magadan, Sakhalin Oblast (Severo-Kurilsky District), Solomon Islands, Norfolk Island, New Caledonia","- Magadan Time, Oblast de Sacalina (Distrito de Severo-Kurilsky), Ilhas Salomão, Ilha Norfolk, Nova Caledônia","- Magadan Time, Sakhalin Oblast (Severo-Kurilsky District), Solomon Islands, Norfolk Island, New Caledonia","- Giờ Magadan, Sakhalin Oblast (Severo-Kurilsky District), Quần đảo Solomon, Đảo Norfolk, New Caledonia","- 马加丹时间、萨哈林州（北库里尔斯基区）、所罗门群岛、诺福克岛、新喀里多尼亚"
"timezoneLabel_212","- Kamchatka Krai, Chukotka Autonomous Okrug, Marshall Islands, Fiji, New Zealand","- Kamchatka Krai, Chukotka Autonomous Okrug, Marshall Islands, Fiji, New Zealand","- Krai de Kamchatka, Okrug Autônomo de Chukotka, Ilhas Marshall, Fiji, Nova Zelândia","- Kamchatka Krai, Chukotka Autonomous Okrug, Marshall Islands, Fiji, New Zealand","- Kamchatka Krai, Chukotka Autonomous Okrug, Quần đảo Marshall, Fiji, New Zealand","- 堪察加边疆区、楚科奇自治区、马绍尔群岛、斐济、新西兰"
"timezoneLabel_2124","- Chatham Islands","- Chatham Islands","- Ilhas Chatham","- Chatham Islands","- Quần đảo Chatham","- 查塔姆群岛"
"timezoneLabel_213","- Samoa, Tonga","- Samoa, Tonga","- Samoa, Tonga","- Samoa, Tonga","- Samoa, Tonga","- 萨摩亚、汤加"
"timezoneLabel_214","- Line Islands","- Line Islands","- Ilhas Line","- Line Islands","- Quần đảo Line","- 莱恩群岛"
"FliterBox_yjx","Settled","Terselesaikan","Liquidado","Natapos","Đã thanh toán","已结算"
"FliterBox_wjx","Unsettled","Tidak Terselesaikan","Não liquidado","Hindi Natapos","Chưa thanh toán","未结算"
"FliterBox_yqx","Cancelled","Dibatalkan","Cancelado","Kinansela","Đã hủy","已取消"
"more","More","Selengkapnya","Mais","More","Thêm","更多"
"tomorrow","Tomorrow","Besok","Amanhã","Bukas","Ngày mai","明天"
"result","Match Result","Hasil Pertandingan","Resultado","Resulta ng Laban","Kết quả Trận đấu","赛果"
"Created","Created","Dibuat","Criado","Nagawa","Đã tạo","已创建"
"Confirming","Confirming","Mengonfirmasi","Confirmando","Kinukumpirma","Đang xác nhận","确认中"
"Rejected","Rejected","Ditolak","Rejeitado","Tinanggihan","Bị từ chối","已拒绝"
"Settled","Settled","Terselesaikan","Liquidado","Naayos","Đã thanh toán","已结算"
"settleStatus","Settle Status","Status Terselesaikan","Settle Status","Kalagayan ng Pag-ayos","Trạng thái Thanh toán","结算状态"
"today","Today","Hari Ini","Hoje","Ngayon","Hôm nay","今日"
"supportLegal","Support / Legal","Dukungan/Legal","Suporte / Legal","Suporta / Legal","Hỗ trợ / Pháp lý","支持 / 法律"
"Privacy","Privacy Policy","Kebijakan Privasi","Política de Privacidade","Patakaran sa Pagkapribado","Chính sách Quyền riêng tư","隐私政策"
"mobile","Mobile","Mobile","Telemóvel","Mobile","Mobile","手机"
"Code","Code","Code","código de convite","Kodigo","Code","邀请码"
"securityCenter_kycSetting","KYC Setting","KYC Setting","KYC Setting","KYC Setting","KYC Setting","KYC Setting"
"securityCenter_notSet","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"securityCenter_done","Done","Done","Done","Done","Done","Done"
"securityCenter_no11digitPhoneNum","Has to be 11 digits","Has to be 11 digits","securityCenter_no11digitPhoneNum","Has to be 11 digits","Has to be 11 digits","securityCenter_no11digitPhoneNum"
"securityCenter_no6digitCode","Has to be 6 digits","Has to be 6 digits","securityCenter_no6digitCode","Has to be 6 digits","Has to be 6 digits","securityCenter_no6digitCode"
"securityCenter_codeTimeout","Code Timeout","Code Timeout","securityCenter_codeTimeout","Code Timeout","Code Timeout","securityCenter_codeTimeout"
"securityCenter_noReceiveCode","No Receive Code?","Tidak Menerima Kode?","No Receive Code?","Walang Receive Code?","Không có mã nhận?","No Receive Code?"
"securityCenter_phoneChangeSuccess","Phone Successfully Updated","Phone Successfully Updated","securityCenter_phoneChangeSuccess","Phone Successfully Updated","Phone Successfully Updated","securityCenter_phoneChangeSuccess"
"securityCenter_congratulations","Congratulations","Selamat","Congratulations","Binabati kita","Chúc mừng","恭喜你"
"securityCenter_back","Back","Back","Back","Back","Back","Back"
"securityCenter_kycVerify","KYC Verify","KYC Verify","KYC Verify","KYC Verify","KYC Verify","KYC Verify"
"securityCenter_submitAgain","Submit Again","Submit Again","Submit Again","Submit Again","Submit Again","Submit Again"
"securityCenter_uploadAgain","Upload Again","Upload Again","securityCenter_uploadAgain","Upload Again","Upload Again","securityCenter_uploadAgain"
"securityCenter_reset","Reset","Reset","Reset","Reset","Reset","Reset"
"user_Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"user_No","No","No","No","No","No","No"
"messages_title","Message Center","Message Center","Message Center","Message Center","Message Center","Message Center"
"messages_all","All","All","All","All","All","All"
"bonus_title","Bonus","Bonus","Bonus","Bonus","Bonus","Bonus"
"bonus_today","Today","Today","Today","Today","Today","Today"
"bonus_yesterday","Yesterday","Yesterday","Yesterday","Yesterday","Yesterday","Yesterday"
"bonus_last7Days","Last 7 Days","Last 7 Days","Last 7 Days","Last 7 Days","Last 7 Days","Last 7 Days"
"bonus_last15Days","Last 15 Days","Last 15 Days","Last 15 Days","Last 15 Days","Last 15 Days","Last 15 Days"
"bonus_last30Days","Last 30 Days","Last 30 Days","Last 30 Days","Last 30 Days","Last 30 Days","Last 30 Days"
"bonus_last60Days","Last 60 Days","Last 60 Days","Last 60 Days","Last 60 Days","Last 60 Days","Last 60 Days"
"bonus_allStatus","All Status","All Status","All Status","All Status","All Status","All Status"
"bonus_statusWaitReceive","Claim","Claim","bonus_statusWaitReceive","Claim","Claim","bonus_statusWaitReceive"
"bonus_statusInProgress","In Progress","In Progress","bonus_statusInProgress","In Progress","In Progress","bonus_statusInProgress"
"bonus_statusVerifying","Under Review","Under Review","bonus_statusVerifying","Under Review","Under Review","bonus_statusVerifying"
"bonus_statusClaimed","Received","Received","bonus_statusClaimed","Received","Received","bonus_statusClaimed"
"bonus_statusExpired","Expired","Expired","bonus_statusExpired","Expired","Expired","bonus_statusExpired"
"bonus_claimSuccess","Claim Success","Claim Success","bonus_claimSuccess","Claim Success","Claim Success","bonus_claimSuccess"
"bonus_inProgressModalTitle","Bonus","Bonus","Bonus","Bonus","Bonus","Bonus"
"bonus_needCompleteTaskToReceive","You need to complete the following tasks to receive","You need to complete the following tasks to receive","You need to complete the following tasks to receive","You need to complete the following tasks to receive","You need to complete the following tasks to receive","You need to complete the following tasks to receive"
"bonus_subTaskIncomplete","bonus_subTaskIncomplete","bonus_subTaskIncomplete","bonus_subTaskIncomplete","bonus_subTaskIncomplete","bonus_subTaskIncomplete","bonus_subTaskIncomplete"
"bonus_subTaskCompleted","bonus_subTaskCompleted","bonus_subTaskCompleted","bonus_subTaskCompleted","bonus_subTaskCompleted","bonus_subTaskCompleted","bonus_subTaskCompleted"
"bonus_subTaskShare","bonus_subTaskShare","bonus_subTaskShare","bonus_subTaskShare","bonus_subTaskShare","bonus_subTaskShare","bonus_subTaskShare"
"bonus_target","Target","Target","Target","Target","Target","Target"
"user_fundAccounts","Fund Accounts","Rekening Dana","Fund Accounts","Mga Account sa Pondo","Tài khoản quỹ","Fund Accounts"
"invite_share","Share","Share","Share","Share","Share","Share"
"invite_data","Data","Data","Data","Data","Data","Data"
"invite_directData","Direct Data","Direct Data","Direct Data","Direct Data","Direct Data","Direct Data"
"invite_commission","Commission","Commission","Commission","Commission","Commission","Commission"
"invite_history","History","History","History","History","History","History"
"invite_myCommission","Commission","Commission","我的佣金","Commission","Commission","我的佣金"
"invite_historyRecord","History","History","历史记录","History","History","历史记录"
"invite_myLink","My Promotion Link","My Promotion Link","我的推广链接","My Promotion Link","My Promotion Link","我的推广链接"
"invite_commissionMode","Rebate model","Rebate model","返佣模式","Rebate model","Rebate model","返佣模式"
"invite_claim","Receive","Receive","领取","Receive","Receive","领取"
"invite_copyLink","Copy Link","Copy Link","复制链接","Copy Link","Copy Link","复制链接"
"invite_saveQrCode","Save QR Code","Save QR Code","保存二维码","Save QR Code","Save QR Code","保存二维码"
"invite_tutorial","Promotion Tutorial","Promotion Tutorial","推广教程","Promotion Tutorial","Promotion Tutorial","推广教程"
"invite_totalCommission","Total Commission","Total Commission","总佣金","Total Commission","Total Commission","总佣金"
"invite_directProfit","Direct Contribution","Direct Contribution","直属业绩","Direct Contribution","Direct Contribution","直属业绩"
"invite_directCommission","Direct Commission","Direct Commission","直属佣金","Direct Commission","Direct Commission","直属佣金"
"invite_contribution","Contribute commission","Contribute commission","贡献","Contribute commission","Contribute commission","贡献"
"invite_today","Today","Today","Today","Today","Today","Today"
"invite_yesterday","Yesterday","Yesterday","Yesterday","Yesterday","Yesterday","Yesterday"
"invite_thisWeek","This Week","This Week","This Week","This Week","This Week","This Week"
"invite_lastWeek","Last Week","Last Week","Last Week","Last Week","Last Week","Last Week"
"invite_thisMonth","This Month","This Month","This Month","This Month","This Month","This Month"
"invite_lastMonth","Last Month","Last Month","Last Month","Last Month","Last Month","Last Month"
"invite_all","All","All","All","All","All","All"
"invite_customize","Customize","Customize","Customize","Customize","Customize","Customize"
"invite_myData_dataOverview","Data overview","Data overview","数据总览","Data overview","Data overview","数据总览"
"invite_myData_directPersonCount","Number of people under direct supervision","Number of people under direct supervision","直属人数","Number of people under direct supervision","Number of people under direct supervision","直属人数"
"invite_myData_directFirstDepositCount","Number of people making first deposit","Number of people making first deposit","直首充人","Number of people making first deposit","Number of people making first deposit","直首充人"
"invite_myData_depositCount","Number of deposits","Number of deposits","存款次数","Number of deposits","Number of deposits","存款次数"
"invite_myData_directFirstDepositAmount","Deposit Amount","Deposit Amount","存款金额","Deposit Amount","Deposit Amount","存款金额"
"invite_myData_validBet","Valid Bets","Valid Bets","有效投注","Valid Bets","Valid Bets","有效投注"
"invite_myData_commission","Commission","Commission","佣金","Commission","Commission","佣金"
"invite_myData_myTeam","My Team","My Team","我的团队","My Team","My Team","我的团队"
"invite_myData_teamCount","Total number of team members","Total number of team members","团队总人数","Total number of team members","Total number of team members","团队总人数"
"invite_myData_directCount","Direct subordinates","Direct subordinates","直属下级数","Direct subordinates","Direct subordinates","直属下级数"
"invite_myData_otherCount","Other Subordinates","Other Subordinates","其它下级","Other Subordinates","Other Subordinates","其它下级"
"invite_myData_teamTotalBet","Total team bets","Total team bets","团队总投注","Total team bets","Total team bets","团队总投注"
"invite_myData_directBet","Direct Betting","Direct Betting","直属投注","Direct Betting","Direct Betting","直属投注"
"invite_myData_directCommission","Direct Commission","Direct Commission","直属佣金","Direct Commission","Direct Commission","直属佣金"
"invite_myData_otherBet","Other Bets","Other Bets","其它投注","Other Bets","Other Bets","其它投注"
"invite_myData_otherCommission","Other Commissions","Other Commissions","其它佣金","Other Commissions","Other Commissions","其它佣金"
"baseDateRangePicker_start","Start","Start","起","Start","Start","起"
"baseDateRangePicker_end","End","End","止","End","End","止"
"invite_DirectData_downCount","Subordinate Count","Subordinate Count","下级数量","Subordinate Count","Subordinate Count","下级数量"
"invite_DirectData_validBet","Valid Bet","Valid Bet","有效投注","Valid Bet","Valid Bet","有效投注"
"invite_DirectData_profitLoss","Loss/Profit","Loss/Profit","亏损/盈利","Loss/Profit","Loss/Profit","亏损/盈利"
"invite_DirectData_deposit","Deposit amount","Deposit amount","存款","Deposit amount","Deposit amount","存款"
"invite_DirectData_withdraw","Withdrawal amount","Withdrawal amount","提款","Withdrawal amount","Withdrawal amount","提款"
"invite_DirectData_login","Login","Login","登陆","Login","Login","登陆"
"invite_DirectData_register","Register","Register","注册","Register","Register","注册"
"invite_commission_validBetDay","Valid Bets (Daily)","Valid Bets (Daily)","有效投注（日结）","Valid Bets (Daily)","Valid Bets (Daily)","有效投注（日结）"
"invite_commission_betAmount","Bet Amount","Bet Amount","投注金额","Bet Amount","Bet Amount","投注金额"
"invite_commission_commission","Commission","Commission","佣金","Commission","Commission","佣金"
"invite_commission_directDown","Direct Subordinate","Direct Subordinate","直属下级","Direct Subordinate","Direct Subordinate","直属下级"
"invite_commission_otherDown","Other Subordinate","Other Subordinate","其它下级","Other Subordinate","Other Subordinate","其它下级"
"invite_commission_summary","Summary","Summary","汇总","Summary","Summary","汇总"
"invite_commission_directTotalBets","direct total bets","direct total bets","direct total bets","direct total bets","direct total bets","direct total bets"
"invite_commission_directlyReporting","Directly reporting","Directly reporting","Directly reporting","Directly reporting","Directly reporting","Directly reporting"
"invite_commission_profitLoss","Loss/Profit","Loss/Profit","亏损/盈利","Loss/Profit","Loss/Profit","亏损/盈利"
"invite_commission_bet","Bet","Bet","投注","Bet","Bet","投注"
"invite_commission_no_more","no more data","no more data","no more","no more data","no more data","no more"
"invite_amountAvailable","Amount Available","Amount Available","Amount Available","Amount Available","Amount Available","Amount Available"
"invite_enterAmount","Enter amount","Enter amount","Enter amount","Enter amount","Enter amount","Enter amount"
"invite_receive","Receive","Receive","Receive","Receive","Receive","Receive"
"invite_max","Max","Max","Max","Max","Max","Max"
"user_licenseInformation","License Information","License Information","License Information","License Information","License Information","License Information"
"user_transactions","Transactions","Transaksi","Transactions","Mga transaksyon","Giao dịch","交易记录"
"user_bonus","Bonus","Bonus","Bonus","Bonus","Bonus","Bonus"
"user_securityCenter","Security Center","Security Center","Security Center","Security Center","Security Center","Security Center"
"user_language","Language","Language","Language","Language","Language","Language"
"invite_negativeProfit","Negative Profit","Negative Profit","负盈利","Negative Profit","Negative Profit","负盈利"
"invite_directBetting","Direct Betting","Direct Betting","Direct Betting","Direct Betting","Direct Betting","Direct Betting"
"invite_otherCommission","Other Commission","Other Commission","其他佣金","Other Commission","Other Commission","其他佣金"
"invite_validBet","Valid Bets","Valid Bets","有效投注","Valid Bets","Valid Bets","有效投注"
"invite_example","Example","Example","例子","Example","Example","例子"
"layout_login","sign in/sign up","masuk/mendaftar","sign in/sign up","mag-sign in/mag-sign up","đăng nhập/đăng ký","登录/注册"
"layout_btm_home","home","rumah","home","bahay","trang chủ","首页"
"layout_btm_promo","promo","promo","promo","promo","khuyến mãi","促销"
"layout_btm_wallet","wallet","dompet","wallet","wallet","cái ví","钱包"
"layout_btm_invite","invite","mengundang","invite","mag-imbita","mời","邀请"
"layout_btm_account","account","akun","account","account","tài khoản","我的"
"home_empty","No games found","Tidak ada permainan yang ditemukan","No games found","Walang nahanap na laro","Không tìm thấy trò chơi nào","没有找到游戏"
"home_search_plh","search game","permainan pencarian","search game","laro sa paghahanap","trò chơi tìm kiếm","搜索游戏"
"fund_a_bound","bound","melompat","bound","nakagapos","ràng buộc","已绑定"
"fund_a_tip_p_t","Verify your Phone No","Verifikasi No Telepon Anda","Verify your Phone No","I-verify ang iyong Phone No","Xác minh số điện thoại của bạn Không","验证您的电话号码"
"fund_a_tip_f_t","Verify your withdrawal password","Verifikasi kata sandi penarikan Anda","Verify your withdrawal password","I-verify ang iyong password sa pag-withdraw","Xác minh mật khẩu rút tiền của bạn","验证您的提款密码"
"fund_a_tip_p_c","Hi, there! You need to set up first your phone number","Hai, yang di sana! 
Anda perlu mengatur terlebih dahulu nomor telepon Anda","Hi, there! You need to set up first your phone number","Hi, doon! 
Kailangan mo munang i-set up ang iyong numero ng telepono","Chào bạn! 
Trước tiên bạn cần thiết lập số điện thoại của mình","你好呀！
您需要先设置您的电话号码"
"fund_a_tip_f_c","hello! You need to set your withdrawal password first.","Halo! 
Anda perlu mengatur kata sandi penarikan Anda terlebih dahulu.","hello! You need to set your withdrawal password first.","hello! 
Kailangan mo munang itakda ang iyong withdrawal password.","Xin chào! 
Bạn cần đặt mật khẩu rút tiền trước tiên.","你好！
您需要先设置提现密码。"
"fund_a_tip_but","Let's Do It","Ayo Lakukan","Let's Do It","Gawin Natin","Hãy làm điều đó","立即前往"
"fund_a_list_add","Link a {type} Account","Tautkan Akun {type}","Link a {type} Account","Mag-link ng {type} Account","Liên kết tài khoản {type}","关联 {type} 帐户"
"fund_a_list_tit","{type} Accounts ({num}/5)","{type} Akun ({num}/5)","{type} Accounts ({num}/5)","{type} Mga Account ({num}/5)","{type} Tài khoản ({num}/5)","{type} 帐户 ({num}/5)"
"fund_a_add_tit","Add {type} Accounts","Tambahkan Akun {type}","Add {type} Accounts","Magdagdag ng {type} Mga Account","Thêm tài khoản {type}","添加 {type} 帐户"
"fund_c_add_b_1","Full Name","Nama Lengkap","Full Name","Buong Pangalan","Tên đầy đủ","姓名"
"fund_c_add_b_1p","Please enter","Silakan masuk","Please enter","Mangyaring ipasok","Vui lòng nhập","请输入"
"fund_c_add_b_2","Phone","Telepon","Phone","Telepono","Điện thoại","电话"
"fund_c_add_b_3","Bank choice","Pilihan bank","Bank choice","Pagpili ng bangko","Lựa chọn ngân hàng","银行选择"
"fund_c_add_b_3p","Please select","Silakan pilih","Please select","Mangyaring pumili","Vui lòng chọn","请选择"
"fund_c_add_b_4","Bank Account number","Bank Account number","Bank Account number","Bank Account number","Bank Account number","Bank Account number"
"fund_c_add_g_1","gcash","gcash","gcash","gcash","gcash","gcash"
"dep_done_tit","Payment information","Informasi pembayaran","Payment information","Impormasyon sa pagbabayad","Thông tin thanh toán","付款信息"
"dep_part_1","payment Method","Metode pembayaran","payment Method","Paraan ng pagbabayad","phương thức thanh toán","付款方式"
"dep_part_2","payment Channel","saluran pembayaran","payment Channel","channel ng pagbabayad","Kênh thanh toán","支付渠道"
"dep_part_3","promotion","promosi","promotion","promosyon","khuyến mãi","晋升"
"dep_part_4","Deposit Amount","Jumlah Setoran","Deposit Amount","Halaga ng Deposito","Số tiền gửi","存款金额"
"dep_part_4_2","Extra Bonus","Bonus Ekstra","Extra Bonus","Dagdag na Bonus","Tiền thưởng thêm","额外奖金"
"withd_part_v","Initial withdraw requires the following verification","Penarikan awal memerlukan verifikasi berikut","Initial withdraw requires the following verification","Ang paunang pag-withdraw ay nangangailangan ng sumusunod na pag-verify","Rút tiền lần đầu yêu cầu xác minh sau","首次提款需要以下验证"
"withd_part_v_2","Wallet Password","Kata Sandi Dompet","Wallet Password","Password ng Wallet","Mật khẩu ví","钱包密码"
"withd_part_v_3","set","mengatur","set","itakda","bộ","设置"
"withd_part_v_4","done","Selesai","done","tapos na","xong","完毕"
"withd_part_a","Withdraw amount","Jumlah penarikan","Withdraw amount","Mag-withdraw ng halaga","Số tiền rút","提现金额"
"withd_part_a_2","Withdraw Amount min {v}","Jumlah Penarikan min {v}","Withdraw Amount min {v}","I-withdraw ang Halaga min {v}","Số tiền rút tối thiểu {v}","提款金额最低 {v}"
"withd_part_a_ft","Enter more than the amount you can withdraw","Masukkan lebih dari jumlah yang dapat Anda tarik","Enter more than the amount you can withdraw","Maglagay ng higit sa halagang maaari mong bawiin","Nhập nhiều hơn số tiền bạn có thể rút","输入超过您可以提取的金额"
"withd_part_a_all","All","Semua","All","Lahat","Tất cả","全部"
"withd_part_a_ab","Available Balance","Saldo Tersedia","Available Balance","Magagamit na Balanse","Số dư khả dụng","可用余额"
"withd_comf_t","In Reviewing","Dalam Meninjau","In Reviewing","Sa Pagsusuri","Đang xem xét","审核中"
"withd_comf_fg","Forgot?","Lupa?","Forgot?","Nakalimutan?","Quên?","忘记了？"
"withd_comf_an","Account no","Nomor rekening","Account no","Account no","Số tài khoản","帐号"
"withd_comf_rw","Request Withdraw","Minta Penarikan","Request Withdraw","Humiling ng Withdraw","Yêu cầu rút tiền","请求提款"
"withd_comf_total","Total","Total","Total","Kabuuan","Tổng cộng","总计"
"withd_comf_fee","{type} Platform Fee","{type} Biaya Platform","{type} Platform Fee","{type} Bayarin sa Platform","{type} Phí nền tảng","{type} 平台费用"
"withd_comf_ep","Enter password","Masukkan kata sandi","Enter password","Ipasok ang password","Nhập mật khẩu","输入密码"
"dep_done_con_1","Payment Amount","Jumlah Pembayaran","Payment Amount","Halaga ng Pagbabayad","Số tiền thanh toán","付款金额"
"dep_done_con_2","Deposit ID","ID setoran","Deposit ID","Deposit ID","ID tiền gửi","存款ID"
"withd_done_con_1","Withdraw Type","Jenis Penarikan","Withdraw Type","Uri ng Pag-withdraw","Loại rút tiền","提款类型"
"withd_done_con_2","Withdraw Amount","Jumlah Penarikan","Withdraw Amount","I-withdraw ang Halaga","Số tiền rút","提款金额"
"withd_done_con_3","withdraw ID","menarik identitas","withdraw ID","bawiin ang ID","rút ID","提现 ID"
"wall_done_tip_1","The payment will be automatically received after successful payment, and the prompt will pop up.","Pembayaran akan diterima secara otomatis setelah pembayaran berhasil, dan prompt akan muncul.","The payment will be automatically received after successful payment, and the prompt will pop up.","Awtomatikong matatanggap ang pagbabayad pagkatapos ng matagumpay na pagbabayad, at lalabas ang prompt.","Khoản thanh toán sẽ được tự động nhận sau khi thanh toán thành công và lời nhắc sẽ bật lên.","支付成功后会自动收到款项，并弹出提示。"
